,,All data,All data,All data,Young adults,Young adults,Young adults,Middle adults,Middle adults,Middle adults,Older adults,Older adults,Older adults
,,Total,First,Rank (SD),Total,First,Rank (SD),Total,First,Rank (SD),Total,First,Rank (SD)
An article of furniture,Table,0.77,0.09,3.28 (1.61),0.70,0.07,3.53 (1.95),0.78,0.11,3.25 (1.56),0.85,0.08,3.09 (1.33)
An article of furniture,Bed,0.59,0.06,4.14 (2.03),0.64,0.06,3.79 (1.80),0.52,0.05,4.41 (2.12),0.63,0.07,4.28 (2.17)
An article of furniture,Desk,0.39,0.08,3.84 (2.29),0.34,0.01,4.67 (2.13),0.41,0.13,3.87 (2.51),0.44,0.11,3.16 (2.03)
An article of furniture,Dresser,0.36,,5.64 (1.83),0.40,,5.75 (1.95),0.33,,5.50 (1.82),0.37,,5.64 (1.76)
An article of furniture,Lamp,0.19,,5.73 (2.10),0.16,,6.30 (2.43),0.19,,6.06 (2.40),0.24,,5.10 (1.48)
An article of furniture,Recliner,0.17,,4.78 (2.13),0.13,,5.45 (1.97),0.20,,4.12 (2.22),0.17,0.01,5.00 (2.08)
An article of furniture,Ottoman,0.15,,4.43 (1.59),0.17,0.01,4.42 (2.10),0.15,,4.66 (1.50),0.13,,4.18 (0.87)
An article of furniture,Loveseat,0.15,,3.86 (1.78),0.20,0.01,3.52 (2.18),0.14,,4.09 (1.45),0.10,,4.25 (1.16)
An article of furniture,Nightstand,0.14,,6.40 (2.00),0.18,,6.40 (1.92),0.13,,5.80 (2.10),0.12,,7.00 (2.05)
An article of furniture,Stool,0.12,,5.60 (2.25),0.13,,6.09 (2.84),0.09,,4.28 (0.95),0.14,,5.91 (2.02)
An article of furniture,Shelf,0.12,,5.45 (1.66),0.08,,6.57 (1.40),0.20,,5.31 (1.54),0.07,,4.50 (1.76)
An article of furniture,Cabinet,0.10,,5.65 (2.51),0.08,,5.57 (2.76),0.11,0.01,5.33 (2.12),0.12,,6.00 (2.87)
An article of furniture,Armoire,0.08,,6.58 (1.87),0.07,,7.00 (2.19),0.04,,7.00 (0.00),0.12,,6.20 (1.99)
An article of furniture,Bookcase,0.06,,5.81 (1.47),0.02,,7.50 (3.54),0.06,,5.40 (0.89),0.11,,5.66 (1.12)
An article of furniture,Chest,0.06,,6.44 (2.19),0.02,,9.00 (2.83),0.06,,6.20 (1.64),0.11,,6.00 (2.18)
An herb,Oregano,0.49,0.13,2.86 (1.90),0.47,0.13,3.10 (2.27),0.58,0.13,2.89 (1.85),0.44,0.13,2.56 (1.48)
An herb,Thyme,0.46,0.08,3.03 (1.65),0.41,0.10,2.61 (1.58),0.49,0.04,3.43 (1.85),0.50,0.10,2.97 (1.46)
An herb,Basil,0.45,0.21,2.24 (1.53),0.51,0.20,2.47 (1.60),0.46,0.27,1.86 (1.50),0.40,0.15,2.35 (1.45)
An herb,Rosemary,0.44,0.10,3.03 (1.73),0.45,0.08,2.91 (1.69),0.39,0.11,3.06 (1.88),0.48,0.11,3.10 (1.68)
An herb,Parsley,0.44,0.12,3.03 (1.95),0.43,0.16,2.52 (1.66),0.58,0.09,3.71 (2.19),0.31,0.11,2.50 (1.50)
An herb,Sage,0.27,0.04,3.87 (2.26),0.19,0.04,3.75 (2.24),0.32,0.03,4.40 (2.65),0.31,0.05,3.42 (1.81)
An herb,Cilantro,0.21,0.05,3.21 (1.85),0.23,0.05,3.31 (1.92),0.25,0.05,3.30 (1.84),0.17,0.05,2.92 (1.90)
An herb,Garlic,0.20,0.05,3.12 (1.87),0.17,0.04,3.00 (1.84),0.16,0.04,3.15 (1.95),0.27,0.07,3.17 (1.92)
An herb,Pepper,0.15,0.02,3.61 (1.85),0.07,,4.33 (2.73),0.14,0.03,3.81 (1.78),0.25,0.04,3.28 (1.62)
An herb,Mint,0.15,0.03,3.22 (1.77),0.22,0.06,3.00 (1.88),0.13,0.04,3.10 (1.73),0.11,,3.77 (1.64)
An herb,Dill,0.14,0.02,3.88 (1.92),0.13,0.01,3.90 (1.81),0.14,0.03,4.00 (2.49),0.14,0.01,3.75 (1.54)
An herb,Chives,0.09,0.02,3.13 (1.94),0.07,,3.66 (1.63),0.06,0.04,1.40 (0.55),0.14,0.02,3.58 (2.11)
An herb,Salt,0.09,0.01,3.64 (1.92),0.02,,6.00 (2.83),0.08,,4.00 (1.10),0.17,0.04,3.14 (1.92)
An herb,Onion,0.05,,3.77 (1.88),0.05,0.01,4.25 (2.75),0.03,,5.00 (2.83),0.08,,3.14 (0.90)
An herb,Cinnamon,0.05,0.01,2.92 (1.85),0.02,,6.50 (2.12),0.06,0.01,2.20 (0.84),0.07,0.01,2.33 (0.82)
An insect,Ant,0.70,0.33,2.32 (1.72),0.72,0.35,2.18 (1.67),0.63,0.28,2.42 (1.77),0.76,0.37,2.37 (1.75)
An insect,Fly,0.64,0.20,2.94 (1.99),0.64,0.11,3.50 (2.07),0.67,0.27,2.75 (2.13),0.62,0.23,2.53 (1.61)
An insect,Bee,0.55,0.13,3.23 (2.11),0.52,0.12,3.39 (2.31),0.56,0.15,2.84 (1.68),0.60,0.12,3.42 (2.26)
An insect,Spider,0.41,0.06,3.50 (1.95),0.46,0.10,3.42 (2.07),0.35,0.04,3.92 (2.07),0.42,0.05,3.22 (1.70)
An insect,Beetle,0.35,0.04,3.55 (1.94),0.39,0.06,3.59 (2.05),0.42,0.06,3.42 (2.00),0.27,,3.65 (1.75)
An insect,Mosquito,0.35,0.02,4.26 (2.10),0.28,0.01,4.69 (2.42),0.38,0.03,4.26 (2.07),0.39,0.02,3.93 (1.89)
An insect,Cockroach,0.34,0.02,4.05 (1.90),0.35,0.02,3.86 (2.26),0.32,,4.08 (1.66),0.37,0.02,4.19 (1.74)
An insect,Wasp,0.31,0.01,4.56 (1.86),0.30,,5.44 (1.94),0.35,,4.10 (1.50),0.30,0.02,4.20 (1.91)
An insect,Butterfly,0.22,0.02,4.96 (2.27),0.30,0.04,5.00 (2.50),0.22,0.03,4.94 (2.33),0.15,,4.92 (1.85)
An insect,Grasshopper,0.21,0.04,3.75 (2.08),0.29,0.08,3.08 (1.77),0.18,0.04,4.07 (2.50),0.17,,4.57 (1.87)
An insect,Moth,0.15,,4.97 (1.87),0.16,,5.15 (2.44),0.15,,5.58 (1.24),0.15,,4.23 (1.54)
An insect,Gnat,0.14,0.02,4.54 (2.50),0.07,,6.16 (2.56),0.18,0.04,4.50 (2.44),0.18,0.04,3.93 (2.40)
An insect,Cricket,0.11,0.01,4.56 (2.24),0.16,0.02,4.53 (2.50),0.10,,4.62 (2.26),0.07,,4.50 (1.97)
An insect,Caterpillar,0.10,0.01,4.75 (2.69),0.14,,5.41 (3.06),0.11,0.01,4.55 (2.13),0.04,0.01,2.66 (2.08)
An insect,Flea,0.08,,4.25 (2.17),0.04,,4.33 (1.53),0.10,,5.00 (2.45),0.11,0.01,3.55 (2.07)
An insect,Worm,0.08,,5.47 (2.34),0.10,,6.37 (3.02),0.10,,5.12 (1.46),0.04,,4.00 (1.73)
An insect,Hornet,0.07,,5.65 (1.54),0.07,,5.66 (1.03),0.08,,4.50 (1.38),0.06,,7.00 (1.22)
An insect,Centipede,0.07,,5.00 (1.97),0.08,,5.28 (2.56),0.08,,5.33 (1.75),0.05,,4.00 (0.82)
An occupation or profession,Doctor,0.79,0.44,2.16 (1.78),0.83,0.40,2.40 (1.94),0.82,0.53,1.87 (1.56),0.74,0.40,2.17 (1.81)
An occupation or profession,Lawyer,0.65,0.06,2.73 (1.62),0.63,0.05,2.88 (1.68),0.71,0.06,2.66 (1.56),0.62,0.08,2.65 (1.63)
An occupation or profession,Teacher,0.44,0.10,3.57 (2.14),0.45,0.13,3.45 (2.41),0.43,0.08,3.82 (2.10),0.45,0.11,3.44 (1.93)
An occupation or profession,Nurse,0.39,0.03,4.12 (2.14),0.36,0.07,4.06 (2.32),0.47,0.01,4.16 (2.15),0.36,0.01,4.13 (2.01)
An occupation or profession,Firefighter,0.20,,4.53 (2.07),0.18,,4.46 (2.47),0.30,0.01,4.58 (1.95),0.12,,4.50 (1.90)
An occupation or profession,Accountant,0.19,0.03,4.02 (2.15),0.18,0.02,4.66 (2.23),0.18,0.01,4.71 (2.37),0.23,0.06,3.00 (1.53)
An occupation or profession,Dentist,0.17,0.02,4.20 (2.53),0.16,0.01,3.61 (1.56),0.13,,5.20 (3.29),0.21,0.04,4.05 (2.60)
An occupation or profession,Engineer,0.13,0.01,4.61 (2.25),0.12,0.01,3.70 (2.00),0.10,,5.12 (2.30),0.18,0.02,4.93 (2.34)
An occupation or profession,Plumber,0.13,0.02,4.52 (2.63),0.10,0.02,4.37 (2.72),0.10,0.01,5.50 (2.88),0.18,0.02,4.06 (2.49)
An occupation or profession,Carpenter,0.12,0.02,4.34 (2.38),0.11,0.01,4.00 (1.80),0.04,,6.33 (1.53),0.20,0.06,4.17 (2.67)
An occupation or profession,Salesperson,0.11,0.01,4.61 (1.71),0.11,,5.44 (1.24),0.08,0.03,3.83 (2.32),0.15,,4.38 (1.56)
An occupation or profession,Secretary,0.11,,5.25 (1.99),0.08,,5.71 (2.43),0.15,,4.83 (1.80),0.11,,5.44 (2.01)
An occupation or profession,Cashier,0.09,0.01,5.09 (2.24),0.14,0.02,5.00 (2.37),0.09,,5.42 (2.51),0.04,,4.66 (1.53)
An occupation or profession,Mechanic,0.08,,5.14 (2.15),0.10,,5.87 (2.30),0.10,0.01,4.37 (1.85),0.06,,5.20 (2.39)
An occupation or profession,Professor,0.08,,5.05 (2.50),0.08,,5.00 (2.65),0.05,,7.50 (2.52),0.11,0.01,4.00 (1.73)
An occupation or profession,Electrician,0.08,,5.37 (2.19),0.05,,4.25 (2.22),0.08,,5.33 (1.86),0.11,,5.88 (2.42)
An occupation or profession,Chef,0.08,,5.47 (2.32),0.08,,5.28 (2.63),0.10,,5.12 (2.42),0.05,,6.50 (1.73)
An occupation or profession,Scientist,0.06,0.01,4.75 (2.82),0.06,0.01,4.80 (3.70),0.09,0.01,5.28 (2.98),0.05,,3.75 (1.26)
An occupation or profession,Clerk,0.06,,5.13 (2.13),0.04,,6.33 (2.89),0.05,,5.25 (1.71),0.10,0.01,4.62 (2.13)
An occupation or profession,Banker,0.06,,4.13 (2.64),0.04,0.01,3.00 (2.65),0.09,,5.00 (3.27),0.06,,3.60 (1.52)
An occupation or profession,Actor,0.06,,6.00 (1.75),0.08,,6.28 (1.60),0.06,,6.60 (1.14),0.02,,3.50 (2.12)
An occupation or profession,Mailman,0.05,,6.38 (2.02),0.07,,5.16 (1.72),0.06,,8.00 (1.58),0.02,,6.00 (1.41)
